Number,Hanzi,Pinyin,English,Part of Speech,First PoS,Eng pos,Level,Levels,example1_chinese,example1_pinyin,example1_english,example2_chinese,example2_pinyin,example2_english,example3_chinese,example3_pinyin,example3_english
93,今年,jīnnián,this year,名 n.,名 n.,noun,1,1,我今年二十岁。,Wǒ jīnnián èr shí suì.,I am twenty years old this year.,他今年在中国学习中文。,Tā jīnnián zài Zhōngguó xuéxí Zhōngwén.,He is studying Chinese in China this year.,今年天气很热。,Jīnnián tiānqì hěn rè.,The weather is hot this year.
94,今天,jīntiān,today; at the present; now,名 n.,名 n.,noun,1,1,今天天气很好。,Jīntiān tiānqì hěn hǎo.,The weather is good today.,我今天不上班。,Wǒ jīntiān bú shàngbān.,I am not working today.,今天是星期一。,Jīntiān shì xīngqī yī.,Today is Monday.
95,九,jiǔ,nine; 9,数 num.,数 num.,numeral,1,1,学校九点上课。,Xuéxiào jiǔ diǎn shàngkè.,School starts at nine.,今天是九月九日。,Jīntiān shì jiǔ yuè jiǔ rì.,Today is September 9.,我要九个饺子。,Wǒ yào jiǔ gè jiǎozi.,I want nine dumplings.
96,觉得,juéde,to think; to feel,动 v.,动 v.,verb,1,1,我觉得很好。,Wǒ juéde hěn hǎo.,I think it is very good.,她觉得有点儿冷。,Tā juéde yǒudiǎnr lěng.,She feels a little cold.,你觉得怎么样？,Nǐ juéde zěnmeyàng?,What do you think?
97,开,kāi,to open; to start,动 v.,动 v.,verb,1,1,请开电视。,Qǐng kāi diànshì.,Please turn on the television.,这个店上午九点开。,Zhège diàn shàngwǔ jiǔ diǎn kāi.,This shop opens at nine in the morning.,电影院今天不开。,Diànyǐngyuàn jīntiān bù kāi.,The cinema is not open today.
98,开车,kāichē,to drive a car,动 v.,动 v.,verb,1,1,我爸爸会开车。,Wǒ bàba huì kāichē.,My dad can drive.,她开车去公司。,Tā kāichē qù gōngsī.,She drives to the company.,不要开车打电话。,Búyào kāichē dǎ diànhuà.,Do not make phone calls while driving.
99,看,kàn,to see; to look at; to read,动 v.,动 v.,verb,1,1,我看书。,Wǒ kàn shū.,I read a book.,我们晚上看电视。,Wǒmen wǎnshang kàn diànshì.,We watch TV in the evening.,请看这个汉字。,Qǐng kàn zhège Hànzì.,Please look at this Chinese character.
100,看病,kànbìng,to visit a doctor; to see a patient,动 v.,动 v.,verb,1,1,我去医院看病。,Wǒ qù yīyuàn kànbìng.,I am going to the hospital to see a doctor.,他今天不上班，去看病。,Tā jīntiān bú shàngbān; qù kànbìng.,He is not going to work today; he is seeing a doctor.,生病了要看病。,Shēngbìng le yào kànbìng.,When you are ill; you should see a doctor.
101,看见,kànjiàn,to see; to catch sight of,动 v.,动 v.,verb,1,1,我看见老师了。,Wǒ kànjiàn lǎoshī le.,I saw the teacher.,你看见我的手机了吗？,Nǐ kànjiàn wǒ de shǒujī le ma?,Have you seen my phone?,她在那边看见了朋友。,Tā zài nàbiān kànjiàn le péngyou.,She saw a friend over there.
102,可以,kěyǐ,can; may; possible,动 v.; 形 adj.,动 v.,verb,1,1,我可以坐这儿吗？,Wǒ kěyǐ zuò zhèr ma?,May I sit here?,你可以看这本书。,Nǐ kěyǐ kàn zhè běn shū.,You may read this book.,今天可以不上课。,Jīntiān kěyǐ bú shàngkè.,We do not have to attend class today.
103,课,kè,subject; course; class,名 n.,名 n.,noun,1,1,我们上午有课。,Wǒmen shàngwǔ yǒu kè.,We have class in the morning.,今天的课很好。,Jīntiān de kè hěn hǎo.,Today’s lesson is good.,这是中文课。,Zhè shì Zhōngwén kè.,This is Chinese class.
104,口,kǒu,mouth; measure word for people,名 n.; 量 m.w.,名 n.,noun; measure word,1,1,我家有四口人。,Wǒ jiā yǒu sì kǒu rén.,There are four people in my family.,他喝了一口水。,Tā hē le yì kǒu shuǐ.,He took a sip of water.,请吃一口。,Qǐng chī yì kǒu.,Please take a bite.
105,块,kuài,yuan; piece,量 m.w.,量 m.w.,measure word,1,1,这个东西十块钱。,Zhège dōngxi shí kuài qián.,This item costs ten yuan.,我有两块钱。,Wǒ yǒu liǎng kuài qián.,I have two yuan.,请给我一块面包。,Qǐng gěi wǒ yí kuài miànbāo.,Please give me a piece of bread.
106,来,lái,to come,动 v.,动 v.,verb,1,1,他明天来我家。,Tā míngtiān lái wǒ jiā.,He is coming to my home tomorrow.,请来这边。,Qǐng lái zhèbiān.,Please come this way.,老师来了。,Lǎoshī lái le.,The teacher has arrived.
107,老师,lǎoshī,teacher,名 n.,名 n.,noun,1,1,他是老师。,Tā shì lǎoshī.,He is a teacher.,我认识这个老师。,Wǒ rènshi zhège lǎoshī.,I know this teacher.,那个老师很忙。,Nàge lǎoshī hěn máng.,That teacher is busy.
108,了,le,completed-action particle; change-of-state particle,助 part.,助 part.,particle,1,1,我买了一本书。,Wǒ mǎi le yì běn shū.,I bought a book.,他到学校了。,Tā dào xuéxiào le.,He has arrived at school.,天气冷了。,Tiānqì lěng le.,The weather has become cold.
109,冷,lěng,cold,形 adj.,形 adj.,adjective,1,1,今天很冷。,Jīntiān hěn lěng.,It is cold today.,水有点儿冷。,Shuǐ yǒudiǎnr lěng.,The water is a little cold.,晚上比白天冷。,Wǎnshang bǐ báitiān lěng.,The evening is colder than the daytime.
110,里,lǐ,lining; interior; inside,名 n.,名 n.,noun,1,1,书在房间里。,Shū zài fángjiān lǐ.,The book is in the room.,房间里有桌子。,Fángjiān lǐ yǒu zhuōzi.,There is a table in the room.,我家里有一只猫。,Wǒ jiā lǐ yǒu yì zhī māo.,There is a cat in my home.
111,两,liǎng,two,数 num.,数 num.,numeral,1,1,我有两本书。,Wǒ yǒu liǎng běn shū.,I have two books.,房间里有两把椅子。,Fángjiān lǐ yǒu liǎng bǎ yǐzi.,There are two chairs in the room.,我们学习了两年中文。,Wǒmen xuéxí le liǎng nián Zhōngwén.,We studied Chinese for two years.
112,零,líng,zero; nought; zero sign,数 num.,数 num.,numeral,1,1,现在是零点。,Xiànzài shì líng diǎn.,It is midnight.,我的电话号里有三个零。,Wǒ de diànhuà hào lǐ yǒu sān gè líng.,My phone number contains three zeros.,二零零六年有两个零。,Èr líng líng liù nián yǒu liǎng gè líng.,The year 2006 contains two zeros.
113,六,liù,six; 6,数 num.,数 num.,numeral,1,1,我早上六点起床。,Wǒ zǎoshang liù diǎn qǐchuáng.,I get up at six in the morning.,她有六个苹果。,Tā yǒu liù gè píngguǒ.,She has six apples.,今天是六月六日。,Jīntiān shì liù yuè liù rì.,Today is June 6.
114,妈妈,māma,mama; mommy; mother,名 n.,名 n.,noun,1,1,这是我妈妈。,Zhè shì wǒ māma.,This is my mom.,我妈妈在家。,Wǒ māma zài jiā.,My mom is at home.,我爱我妈妈。,Wǒ ài wǒ māma.,I love my mom.
115,吗,ma,question particle,助 part.,助 part.,particle,1,1,你是学生吗？,Nǐ shì xuéshēng ma?,Are you a student?,他会说中文吗？,Tā huì shuō Zhōngwén ma?,Can he speak Chinese?,今天冷吗？,Jīntiān lěng ma?,Is it cold today?
116,买,mǎi,to buy; to purchase,动 v.,动 v.,verb,1,1,我买了一本书。,Wǒ mǎi le yì běn shū.,I bought a book.,她想买新衣服。,Tā xiǎng mǎi xīn yīfu.,She wants to buy new clothes.,我们去超市买水果。,Wǒmen qù chāoshì mǎi shuǐguǒ.,We go to the supermarket to buy fruit.
117,卖,mài,to sell,动 v.,动 v.,verb,1,1,商店卖水果。,Shāngdiàn mài shuǐguǒ.,The shop sells fruit.,这个店卖书。,Zhège diàn mài shū.,This store sells books.,他们不卖这个东西。,Tāmen bú mài zhège dōngxi.,They do not sell this item.
118,忙,máng,busy; hurriedly; to hurry,形 adj.; 动 v.,形 adj.,adjective,1,1,我今天很忙。,Wǒ jīntiān hěn máng.,I am busy today.,老师正在忙。,Lǎoshī zhèngzài máng.,The teacher is busy right now.,他不忙。,Tā bù máng.,He is not busy.
119,猫,māo,cat; modem,名 n.,名 n.,noun,1,1,这是我的猫。,Zhè shì wǒ de māo.,This is my cat.,我喜欢猫。,Wǒ xǐhuan māo.,I like cats.,那只猫很小。,Nà zhī māo hěn xiǎo.,That cat is small.
120,没关系,méiguānxi,it's okay; never mind,叹 interj.,叹 interj.,expression,1,1,对不起。没关系。,Duìbuqǐ. Méi guānxi.,Sorry. It is okay.,没关系，明天再来。,Méi guānxi; míngtiān zài lái.,No problem; come again tomorrow.,他说没关系。,Tā shuō méi guānxi.,He said it was okay.
121,没事,méishì,it's okay; nothing's wrong,动 v.,动 v.,expression,1,1,我没事。,Wǒ méishì.,I am fine.,没事，我很好。,Méishì; wǒ hěn hǎo.,It is okay; I am fine.,他现在没事了。,Tā xiànzài méishì le.,He is fine now.
122,没有,méiyǒu,haven't; hasn't; doesn't exist,动 v.; 副 adv.,动 v.,verb; adverb,1,1,我没有车。,Wǒ méiyǒu chē.,I do not have a car.,房间里没有人。,Fángjiān lǐ méiyǒu rén.,There is nobody in the room.,他昨天没有来。,Tā zuótiān méiyǒu lái.,He did not come yesterday.
123,妹妹,mèimei,younger sister; young woman,名 n.,名 n.,noun,1,1,这是我妹妹。,Zhè shì wǒ mèimei.,This is my younger sister.,我妹妹在家。,Wǒ mèimei zài jiā.,My younger sister is at home.,我爱我妹妹。,Wǒ ài wǒ mèimei.,I love my younger sister.
124,们,men,plural suffix,后缀 suff.,后缀 suff.,suffix,1,1,我们是学生。,Wǒmen shì xuéshēng.,We are students.,老师们都来了。,Lǎoshī men dōu lái le.,The teachers have all arrived.,孩子们在外边玩。,Háizi men zài wàibian wán.,The children are playing outside.
125,米饭,mǐfàn,rice,名 n.,名 n.,noun,1,1,我喜欢吃米饭。,Wǒ xǐhuan chī mǐfàn.,I like eating rice.,米饭很好吃。,Mǐfàn hěn hǎochī.,Rice tastes good.,我想吃米饭。,Wǒ xiǎng chī mǐfàn.,I want to eat rice.
126,面包,miànbāo,bread,名 n.,名 n.,noun,1,1,我喜欢吃面包。,Wǒ xǐhuan chī miànbāo.,I like eating bread.,面包很好吃。,Miànbāo hěn hǎochī.,Bread tastes good.,我想吃面包。,Wǒ xiǎng chī miànbāo.,I want to eat bread.
127,面条儿,miàntiáor,noodles,名 n.,名 n.,noun,1,1,我喜欢吃面条儿。,Wǒ xǐhuan chī miàntiáor.,I like eating noodles.,面条儿很好吃。,Miàntiáor hěn hǎochī.,The noodles taste good.,我想吃面条儿。,Wǒ xiǎng chī miàntiáor.,I want to eat noodles.
128,明年,míngnián,next year,名 n.,名 n.,noun,1,1,我明年去中国。,Wǒ míngnián qù Zhōngguó.,I am going to China next year.,她明年上大学。,Tā míngnián shàng dàxué.,She will attend university next year.,明年再见。,Míngnián zàijiàn.,See you next year.
129,明天,míngtiān,tomorrow,名 n.,名 n.,noun,1,1,明天见。,Míngtiān jiàn.,See you tomorrow.,我明天去学校。,Wǒ míngtiān qù xuéxiào.,I am going to school tomorrow.,明天会下雨吗？,Míngtiān huì xià yǔ ma?,Will it rain tomorrow?
130,名字,míngzi,name,名 n.,名 n.,noun,1,1,我的名字是李明。,Wǒ de míngzi shì Lǐ Míng.,My name is Li Ming.,你叫什么名字？,Nǐ jiào shénme míngzi?,What is your name?,请写你的名字。,Qǐng xiě nǐ de míngzi.,Please write your name.
131,哪,nǎ,which,代 pron.,代 pron.,pronoun,1,1,你是哪国人？,Nǐ shì nǎ guó rén?,Which country are you from?,你喜欢哪本书？,Nǐ xǐhuan nǎ běn shū?,Which book do you like?,哪件衣服是你的？,Nǎ jiàn yīfu shì nǐ de?,Which item of clothing is yours?
132,哪个,nǎge,which one,代 pron.,代 pron.,pronoun,1,1,你要哪个？,Nǐ yào nǎge?,Which one do you want?,哪个是你的？,Nǎge shì nǐ de?,Which one is yours?,你喜欢哪个老师？,Nǐ xǐhuan nǎge lǎoshī?,Which teacher do you like?
133,哪里,nǎlǐ,where,代 pron.,代 pron.,pronoun,1,1,你住在哪里？,Nǐ zhù zài nǎlǐ?,Where do you live?,医院在哪里？,Yīyuàn zài nǎlǐ?,Where is the hospital?,你想去哪里？,Nǐ xiǎng qù nǎlǐ?,Where do you want to go?
134,哪儿,nǎr,where,代 pron.,代 pron.,pronoun,1,1,你去哪儿？,Nǐ qù nǎr?,Where are you going?,书店在哪儿？,Shūdiàn zài nǎr?,Where is the bookstore?,你住哪儿？,Nǐ zhù nǎr?,Where do you live?
135,哪些,nǎxiē,which ones,代 pron.,代 pron.,pronoun,1,1,哪些是你的书？,Nǎxiē shì nǐ de shū?,Which books are yours?,你喜欢哪些水果？,Nǐ xǐhuan nǎxiē shuǐguǒ?,Which fruits do you like?,哪些学生会说中文？,Nǎxiē xuéshēng huì shuō Zhōngwén?,Which students can speak Chinese?
136,那,nà,that; then,代 pron.; （连 conj.）,代 pron.,pronoun,1,1（2）,那是学校。,Nà shì xuéxiào.,That is the school.,那很好。,Nà hěn hǎo.,That is very good.,那是什么？,Nà shì shénme?,What is that?
137,那边,nàbiān,there; that side,代 pron.,代 pron.,pronoun,1,1,医院在那边。,Yīyuàn zài nàbiān.,The hospital is over there.,请不要去那边。,Qǐng búyào qù nàbiān.,Please do not go over there.,我朋友住在那边。,Wǒ péngyou zhù zài nàbiān.,My friend lives over there.
138,那个,nàge,that one,代 pron.,代 pron.,pronoun,1,1,那个是老师的。,Nàge shì lǎoshī de.,That one belongs to the teacher.,我不要那个。,Wǒ bú yào nàge.,I do not want that one.,那个很好看。,Nàge hěn hǎokàn.,That one looks good.
139,那里,nàlǐ,there,代 pron.,代 pron.,pronoun,1,1,我朋友住在那里。,Wǒ péngyou zhù zài nàlǐ.,My friend lives there.,那里有一家饭店。,Nàlǐ yǒu yì jiā fàndiàn.,There is a restaurant there.,我们明天去那里。,Wǒmen míngtiān qù nàlǐ.,We are going there tomorrow.
140,那儿,nàr,there,代 pron.,代 pron.,pronoun,1,1,我去那儿。,Wǒ qù nàr.,I am going there.,书在那儿。,Shū zài nàr.,The book is there.,他住在那儿。,Tā zhù zài nàr.,He lives there.
141,那些,nàxiē,those,代 pron.,代 pron.,pronoun,1,1,那些是学生的。,Nàxiē shì xuéshēng de.,Those belong to the students.,我不要那些。,Wǒ bú yào nàxiē.,I do not want those.,那些都很贵。,Nàxiē dōu hěn guì.,Those are all expensive.
142,男,nán,male; man,形 adj.,形 adj.,adjective,1,1,他是男学生。,Tā shì nán xuéshēng.,He is a male student.,那个男老师很忙。,Nàge nán lǎoshī hěn máng.,That male teacher is busy.,这里有两个男孩子。,Zhèlǐ yǒu liǎng gè nán háizi.,There are two boys here.
143,男朋友,nánpéngyou,boyfriend,名 n.,名 n.,noun,1,1,这是我男朋友。,Zhè shì wǒ nánpéngyou.,This is my boyfriend.,我男朋友是学生。,Wǒ nánpéngyou shì xuéshēng.,My boyfriend is a student.,我喜欢和男朋友说话。,Wǒ xǐhuan hé nánpéngyou shuōhuà.,I like talking with my boyfriend.
144,呢,ne,question/topic particle,助 part.,助 part.,particle,1,1,我很好，你呢？,Wǒ hěn hǎo; nǐ ne?,I am well. How about you?,他在做什么呢？,Tā zài zuò shénme ne?,What is he doing?,我的书呢？,Wǒ de shū ne?,Where is my book?
145,能,néng,can; to be able to; might possibly,动 v.,动 v.,verb,1,1,你能来吗？,Nǐ néng lái ma?,Can you come?,我今天不能上班。,Wǒ jīntiān bù néng shàngbān.,I cannot go to work today.,他能听见我说话。,Tā néng tīngjiàn wǒ shuōhuà.,He can hear me speaking.
146,你,nǐ,you,代 pron.,代 pron.,pronoun,1,1,你好。,Nǐ hǎo.,Hello.,我认识你。,Wǒ rènshi nǐ.,I know you.,这是你的手机吗？,Zhè shì nǐ de shǒujī ma?,Is this your phone?
147,你好,nǐhǎo,hello,叹 interj.,叹 interj.,expression,1,1,你好！,Nǐ hǎo!,Hello!,老师，你好！,Lǎoshī; nǐ hǎo!,Hello; teacher!,你好，我叫李明。,Nǐ hǎo; wǒ jiào Lǐ Míng.,Hello; my name is Li Ming.
148,你们,nǐmen,you (plural),代 pron.,代 pron.,pronoun,1,1,你们好。,Nǐmen hǎo.,Hello; everyone.,你们是学生吗？,Nǐmen shì xuéshēng ma?,Are you students?,这是你们的房间。,Zhè shì nǐmen de fángjiān.,This is your room.
149,年,nián,year,名 n.; 量 m.w.,名 n.,noun,1,1,我学习中文两年了。,Wǒ xuéxí Zhōngwén liǎng nián le.,I have studied Chinese for two years.,去年我在中国住了一年。,Qùnián wǒ zài Zhōngguó zhù le yì nián.,I lived in China for one year last year.,一年有十二个月。,Yì nián yǒu shí èr gè yuè.,A year has twelve months.
150,您,nín,you,代 pron.,代 pron.,pronoun,1,1,您好。,Nín hǎo.,Hello.,请问，您叫什么名字？,Qǐngwèn; nín jiào shénme míngzi?,May I ask your name?,这是您的书。,Zhè shì nín de shū.,This is your book.
151,牛奶,niúnǎi,cow's milk,名 n.,名 n.,noun,1,1,我喜欢喝牛奶。,Wǒ xǐhuan hē niúnǎi.,I like drinking milk.,请给我一杯牛奶。,Qǐng gěi wǒ yì bēi niúnǎi.,Please give me a cup of milk.,我想喝牛奶。,Wǒ xiǎng hē niúnǎi.,I want to drink milk.
152,女,nǚ,female; woman; daughter,形 adj.,形 adj.,adjective,1,1,她是女学生。,Tā shì nǚ xuéshēng.,She is a female student.,那个女老师很高兴。,Nàge nǚ lǎoshī hěn gāoxìng.,That female teacher is happy.,这里有两个女孩子。,Zhèlǐ yǒu liǎng gè nǚ háizi.,There are two girls here.
153,女儿,nǚ’ér,daughter,名 n.,名 n.,noun,1,1,这是我女儿。,Zhè shì wǒ nǚ'ér.,This is my daughter.,我女儿在家。,Wǒ nǚ'ér zài jiā.,My daughter is at home.,我爱我女儿。,Wǒ ài wǒ nǚ'ér.,I love my daughter.
154,女朋友,nǚpéngyou,girlfriend,名 n.,名 n.,noun,1,1,这是我女朋友。,Zhè shì wǒ nǚpéngyou.,This is my girlfriend.,我女朋友是学生。,Wǒ nǚpéngyou shì xuéshēng.,My girlfriend is a student.,我喜欢和女朋友说话。,Wǒ xǐhuan hé nǚpéngyou shuōhuà.,I like talking with my girlfriend.
155,女士,nǚshì,lady; madam; 位,名 n.,名 n.,noun,1,1,李女士，您好。,Lǐ nǚshì; nín hǎo.,Hello; Ms. Li.,那位女士是医生。,Nà wèi nǚshì shì yīshēng.,That lady is a doctor.,我认识那位女士。,Wǒ rènshi nà wèi nǚshì.,I know that lady.
